INFO 2022-08-22 19:11:35,092 trainer.py:177] epoch: 0, batch_id: 18430, auc:0.792849, loss:0.45715696, avg_reader_cost: 0.00030 sec, avg_batch_cost: 0.13913 sec, avg_samples: 1024.00000, ips: 7360.11779 ins/s
INFO 2022-08-22 19:11:54,519 trainer.py:177] epoch: 0, batch_id: 18570, auc:0.792874, loss:0.4567514, avg_reader_cost: 0.00000 sec, avg_batch_cost: 0.13893 sec, avg_samples: 1024.00000, ips: 7370.69615 ins/s
INFO 2022-08-22 19:11:55,932 trainer.py:177] epoch: 0, batch_id: 18580, auc:0.792871, loss:0.4603176, avg_reader_cost: 0.00000 sec, avg_batch_cost: 0.14062 sec, avg_samples: 1024.00000, ips: 7281.83580 ins/s
INFO 2022-08-22 19:11:57,356 trainer.py:177] epoch: 0, batch_id: 18590, auc:0.792870, loss:0.45590696, avg_reader_cost: 0.00000 sec, avg_batch_cost: 0.14192 sec, avg_samples: 1024.00000, ips: 7215.14136 ins/s
INFO 2022-08-22 19:11:58,756 trainer.py:177] epoch: 0, batch_id: 18600, auc:0.792876, loss:0.4430257, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.13942 sec, avg_samples: 1024.00000, ips: 7344.49356 ins/s
INFO 2022-08-22 19:12:00,183 trainer.py:177] epoch: 0, batch_id: 18610, auc:0.792881, loss:0.42646486, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.14223 sec, avg_samples: 1024.00000, ips: 7199.81818 ins/s
INFO 2022-08-22 19:12:01,702 trainer.py:177] epoch: 0, batch_id: 18620, auc:0.792884, loss:0.43814483, avg_reader_cost: 0.00030 sec, avg_batch_cost: 0.15130 sec, avg_samples: 1024.00000, ips: 6768.21210 ins/s
INFO 2022-08-22 19:12:03,191 trainer.py:177] epoch: 0, batch_id: 18630, auc:0.792888, loss:0.42466474, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.14831 sec, avg_samples: 1024.00000, ips: 6904.62367 ins/s
INFO 2022-08-22 19:12:04,678 trainer.py:177] epoch: 0, batch_id: 18640, auc:0.792897, loss:0.43057033, avg_reader_cost: 0.00000 sec, avg_batch_cost: 0.14820 sec, avg_samples: 1024.00000, ips: 6909.41105 ins/s
INFO 2022-08-22 19:12:06,125 trainer.py:177] epoch: 0, batch_id: 18650, auc:0.792909, loss:0.44496274, avg_reader_cost: 0.00000 sec, avg_batch_cost: 0.14421 sec, avg_samples: 1024.00000, ips: 7100.53843 ins/s
INFO 2022-08-22 19:12:07,534 trainer.py:177] epoch: 0, batch_id: 18660, auc:0.792922, loss:0.45711017, avg_reader_cost: 0.00020 sec, avg_batch_cost: 0.14003 sec, avg_samples: 1024.00000, ips: 7312.91156 ins/s
INFO 2022-08-22 19:12:08,927 trainer.py:177] epoch: 0, batch_id: 18670, auc:0.792926, loss:0.4603779, avg_reader_cost: 0.00000 sec, avg_batch_cost: 0.13863 sec, avg_samples: 1024.00000, ips: 7386.60748 ins/s
INFO 2022-08-22 19:12:10,354 trainer.py:177] epoch: 0, batch_id: 18680, auc:0.792928, loss:0.48149368, avg_reader_cost: 0.00000 sec, avg_batch_cost: 0.14202 sec, avg_samples: 1024.00000, ips: 7210.20431 ins/s
INFO 2022-08-22 19:12:11,817 trainer.py:177] epoch: 0, batch_id: 18690, auc:0.792933, loss:0.47880042, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.14581 sec, avg_samples: 1024.00000, ips: 7022.82722 ins/s
INFO 2022-08-22 19:12:13,315 trainer.py:177] epoch: 0, batch_id: 18700, auc:0.792938, loss:0.48192462, avg_reader_cost: 0.00000 sec, avg_batch_cost: 0.14930 sec, avg_samples: 1024.00000, ips: 6858.51815 ins/s
INFO 2022-08-22 19:12:14,684 trainer.py:177] epoch: 0, batch_id: 18710, auc:0.792945, loss:0.44747007, avg_reader_cost: 0.00000 sec, avg_batch_cost: 0.13644 sec, avg_samples: 1024.00000, ips: 7505.39588 ins/s
INFO 2022-08-22 19:12:16,194 trainer.py:177] epoch: 0, batch_id: 18720, auc:0.792953, loss:0.46887684, avg_reader_cost: 0.00030 sec, avg_batch_cost: 0.15030 sec, avg_samples: 1024.00000, ips: 6813.18099 ins/s
INFO 2022-08-22 19:12:17,602 trainer.py:177] epoch: 0, batch_id: 18730, auc:0.792956, loss:0.47396645, avg_reader_cost: 0.00000 sec, avg_batch_cost: 0.14032 sec, avg_samples: 1024.00000, ips: 7297.36416 ins/s
INFO 2022-08-22 19:12:18,996 trainer.py:177] epoch: 0, batch_id: 18740, auc:0.792969, loss:0.45486856, avg_reader_cost: 0.00020 sec, avg_batch_cost: 0.13903 sec, avg_samples: 1024.00000, ips: 7365.26992 ins/s
INFO 2022-08-22 19:12:20,394 trainer.py:177] epoch: 0, batch_id: 18750, auc:0.792975, loss:0.43420762, avg_reader_cost: 0.00000 sec, avg_batch_cost: 0.13923 sec, avg_samples: 1024.00000, ips: 7354.69578 ins/s
INFO 2022-08-22 19:12:21,768 trainer.py:177] epoch: 0, batch_id: 18760, auc:0.792987, loss:0.45729864, avg_reader_cost: 0.00000 sec, avg_batch_cost: 0.13703 sec, avg_samples: 1024.00000, ips: 7472.56624 ins/s
INFO 2022-08-22 19:12:23,161 trainer.py:177] epoch: 0, batch_id: 18770, auc:0.792995, loss:0.43338692, avg_reader_cost: 0.00000 sec, avg_batch_cost: 0.13883 sec, avg_samples: 1024.00000, ips: 7376.14938 ins/s
INFO 2022-08-22 19:12:24,572 trainer.py:177] epoch: 0, batch_id: 18780, auc:0.793002, loss:0.4533513, avg_reader_cost: 0.00000 sec, avg_batch_cost: 0.14052 sec, avg_samples: 1024.00000, ips: 7287.21888 ins/s
INFO 2022-08-22 19:12:26,050 trainer.py:177] epoch: 0, batch_id: 18790, auc:0.793003, loss:0.42561227, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.14741 sec, avg_samples: 1024.00000, ips: 6946.66040 ins/s
INFO 2022-08-22 19:12:27,412 trainer.py:177] epoch: 0, batch_id: 18800, auc:0.793011, loss:0.41572013, avg_reader_cost: 0.00000 sec, avg_batch_cost: 0.13573 sec, avg_samples: 1024.00000, ips: 7544.17203 ins/s
INFO 2022-08-22 19:12:28,766 trainer.py:177] epoch: 0, batch_id: 18810, auc:0.793019, loss:0.47925624, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.13504 sec, avg_samples: 1024.00000, ips: 7582.84484 ins/s
INFO 2022-08-22 19:12:30,174 trainer.py:177] epoch: 0, batch_id: 18820, auc:0.793026, loss:0.44589648, avg_reader_cost: 0.00000 sec, avg_batch_cost: 0.14032 sec, avg_samples: 1024.00000, ips: 7297.52162 ins/s
INFO 2022-08-22 19:12:31,574 trainer.py:177] epoch: 0, batch_id: 18830, auc:0.793031, loss:0.44565248, avg_reader_cost: 0.00020 sec, avg_batch_cost: 0.13963 sec, avg_samples: 1024.00000, ips: 7333.68718 ins/s
INFO 2022-08-22 19:12:33,033 trainer.py:177] epoch: 0, batch_id: 18840, auc:0.793037, loss:0.44793132, avg_reader_cost: 0.00000 sec, avg_batch_cost: 0.14550 sec, avg_samples: 1024.00000, ips: 7037.61539 ins/s
INFO 2022-08-22 19:12:34,510 trainer.py:177] epoch: 0, batch_id: 18850, auc:0.793041, loss:0.42694777, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.14691 sec, avg_samples: 1024.00000, ips: 6970.26182 ins/s
INFO 2022-08-22 19:12:35,909 trainer.py:177] epoch: 0, batch_id: 18860, auc:0.793048, loss:0.47028953, avg_reader_cost: 0.00000 sec, avg_batch_cost: 0.13943 sec, avg_samples: 1024.00000, ips: 7344.34034 ins/s
INFO 2022-08-22 19:12:37,312 trainer.py:177] epoch: 0, batch_id: 18870, auc:0.793052, loss:0.45498857, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.14003 sec, avg_samples: 1024.00000, ips: 7312.79701 ins/s
INFO 2022-08-22 19:12:38,753 trainer.py:177] epoch: 0, batch_id: 18880, auc:0.793057, loss:0.4693589, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.14352 sec, avg_samples: 1024.00000, ips: 7135.09097 ins/s
INFO 2022-08-22 19:12:40,201 trainer.py:177] epoch: 0, batch_id: 18890, auc:0.793060, loss:0.44476768, avg_reader_cost: 0.00000 sec, avg_batch_cost: 0.14401 sec, avg_samples: 1024.00000, ips: 7110.37740 ins/s
INFO 2022-08-22 19:12:41,622 trainer.py:177] epoch: 0, batch_id: 18900, auc:0.793063, loss:0.46046767, avg_reader_cost: 0.00000 sec, avg_batch_cost: 0.14172 sec, avg_samples: 1024.00000, ips: 7225.32016 ins/s
INFO 2022-08-22 19:12:43,026 trainer.py:177] epoch: 0, batch_id: 18910, auc:0.793068, loss:0.449597, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.13982 sec, avg_samples: 1024.00000, ips: 7323.56185 ins/s
INFO 2022-08-22 19:12:44,422 trainer.py:177] epoch: 0, batch_id: 18920, auc:0.793075, loss:0.46836022, avg_reader_cost: 0.00000 sec, avg_batch_cost: 0.13913 sec, avg_samples: 1024.00000, ips: 7360.13166 ins/s
INFO 2022-08-22 19:12:45,848 trainer.py:177] epoch: 0, batch_id: 18930, auc:0.793079, loss:0.4513095, avg_reader_cost: 0.00000 sec, avg_batch_cost: 0.14212 sec, avg_samples: 1024.00000, ips: 7205.21601 ins/s
INFO 2022-08-22 19:12:47,307 trainer.py:177] epoch: 0, batch_id: 18940, auc:0.793086, loss:0.45248207, avg_reader_cost: 0.00000 sec, avg_batch_cost: 0.14511 sec, avg_samples: 1024.00000, ips: 7056.52491 ins/s
INFO 2022-08-22 19:12:48,719 trainer.py:177] epoch: 0, batch_id: 18950, auc:0.793092, loss:0.4743231, avg_reader_cost: 0.00000 sec, avg_batch_cost: 0.14072 sec, avg_samples: 1024.00000, ips: 7276.67765 ins/s
INFO 2022-08-22 19:12:50,118 trainer.py:177] epoch: 0, batch_id: 18960, auc:0.793100, loss:0.46244875, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.13963 sec, avg_samples: 1024.00000, ips: 7333.68968 ins/s
INFO 2022-08-22 19:12:51,529 trainer.py:177] epoch: 0, batch_id: 18970, auc:0.793109, loss:0.4682786, avg_reader_cost: 0.00000 sec, avg_batch_cost: 0.14032 sec, avg_samples: 1024.00000, ips: 7297.51790 ins/s
INFO 2022-08-22 19:12:52,958 trainer.py:177] epoch: 0, batch_id: 18980, auc:0.793120, loss:0.40305614, avg_reader_cost: 0.00000 sec, avg_batch_cost: 0.14222 sec, avg_samples: 1024.00000, ips: 7200.08371 ins/s
INFO 2022-08-22 19:12:54,345 trainer.py:177] epoch: 0, batch_id: 18990, auc:0.793128, loss:0.45108616, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.13783 sec, avg_samples: 1024.00000, ips: 7429.33181 ins/s
INFO 2022-08-22 19:12:55,760 trainer.py:177] epoch: 0, batch_id: 19000, auc:0.793141, loss:0.45347664, avg_reader_cost: 0.00000 sec, avg_batch_cost: 0.14093 sec, avg_samples: 1024.00000, ips: 7266.08205 ins/s
INFO 2022-08-22 19:12:57,153 trainer.py:177] epoch: 0, batch_id: 19010, auc:0.793151, loss:0.44398218, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.13873 sec, avg_samples: 1024.00000, ips: 7381.13371 ins/s
INFO 2022-08-22 19:12:58,583 trainer.py:177] epoch: 0, batch_id: 19020, auc:0.793155, loss:0.451501, avg_reader_cost: 0.00000 sec, avg_batch_cost: 0.14252 sec, avg_samples: 1024.00000, ips: 7185.02027 ins/s
INFO 2022-08-22 19:13:00,009 trainer.py:177] epoch: 0, batch_id: 19030, auc:0.793158, loss:0.443043, avg_reader_cost: 0.00000 sec, avg_batch_cost: 0.14172 sec, avg_samples: 1024.00000, ips: 7225.56327 ins/s
INFO 2022-08-22 19:13:01,451 trainer.py:177] epoch: 0, batch_id: 19040, auc:0.793164, loss:0.453093, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.14382 sec, avg_samples: 1024.00000, ips: 7120.24367 ins/s
INFO 2022-08-22 19:13:02,875 trainer.py:177] epoch: 0, batch_id: 19050, auc:0.793164, loss:0.44822788, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.14192 sec, avg_samples: 1024.00000, ips: 7215.31347 ins/s
INFO 2022-08-22 19:13:04,246 trainer.py:177] epoch: 0, batch_id: 19060, auc:0.793174, loss:0.4376362, avg_reader_cost: 0.00000 sec, avg_batch_cost: 0.13644 sec, avg_samples: 1024.00000, ips: 7505.39457 ins/s
INFO 2022-08-22 19:13:05,655 trainer.py:177] epoch: 0, batch_id: 19070, auc:0.793183, loss:0.44955215, avg_reader_cost: 0.00000 sec, avg_batch_cost: 0.14042 sec, avg_samples: 1024.00000, ips: 7292.21122 ins/s
INFO 2022-08-22 19:13:08,655 trainer.py:177] epoch: 0, batch_id: 19080, auc:0.793186, loss:0.43644667, avg_reader_cost: 0.00000 sec, avg_batch_cost: 0.13983 sec, avg_samples: 1024.00000, ips: 7323.39577 ins/s
INFO 2022-08-22 19:13:10,053 trainer.py:177] epoch: 0, batch_id: 19090, auc:0.793194, loss:0.43892235, avg_reader_cost: 0.00000 sec, avg_batch_cost: 0.13933 sec, avg_samples: 1024.00000, ips: 7349.59113 ins/s
INFO 2022-08-22 19:13:11,438 trainer.py:177] epoch: 0, batch_id: 19100, auc:0.793200, loss:0.46532342, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.13803 sec, avg_samples: 1024.00000, ips: 7418.62816 ins/s
INFO 2022-08-22 19:13:12,853 trainer.py:177] epoch: 0, batch_id: 19110, auc:0.793209, loss:0.45610148, avg_reader_cost: 0.00000 sec, avg_batch_cost: 0.14113 sec, avg_samples: 1024.00000, ips: 7255.91196 ins/s
INFO 2022-08-22 19:13:19,440 trainer.py:177] epoch: 0, batch_id: 19120, auc:0.793213, loss:0.47576395, avg_reader_cost: 0.00000 sec, avg_batch_cost: 0.14322 sec, avg_samples: 1024.00000, ips: 7149.98127 ins/s
